time,open,high,low,close,ADX
1747711200,21441,21450.75,21440.25,21448.25,44.923513071944576
1747711500,21448.5,21448.5,21444.5,21447.25,44.49085832130888
1747711800,21447.25,21448.5,21436.5,21439,44.680390141253625
1747712100,21439,21453.75,21427.25,21453.5,45.401104835616515
1747712400,21453,21455,21441.5,21447.25,45.84298806605311
1747712700,21446,21447.75,21438.5,21440.75,46.42783916900583
1747713000,21440.75,21442.25,21431,21438.75,47.36371519835826
1747713300,21439,21439.25,21431.75,21434.25,48.2327429398998
1747713600,21434.25,21436,21426.5,21430.75,49.29558624198579
1747713900,21431,21440.5,21430.5,21432.75,49.402409920701814
1747714200,21432.25,21432.75,21422.5,21427.5,49.9457118737876
1747714500,21427.75,21435.25,21421,21432,49.99278263747423
1747714800,21432,21432.75,21426,21429.75,50.03649120375467
1747715100,21430.5,21433,21429.5,21431.75,50.02643073308099
1747715400,21431.75,21436,21425.5,21435,50.28563562413569
1747715700,21435,21435.5,21427,21429.5,50.52632588011507
1747716000,21430.25,21437,21428.5,21435.25,50.40297045910871
1747716300,21435.25,21435.75,21429.5,21430.5,50.288426139602805
1747716600,21432,21451,21431,21446.5,47.29673718494697
1747716900,21446.25,21452,21445,21447,44.373090368894665
1747717200,21447.25,21457.75,21445.75,21456.75,41.54151392834364
1747717500,21456.5,21464,21452,21463.5,39.65277495845699
1747717800,21463,21469.75,21460,21468,38.4891941164769
1747718100,21468,21480,21468,21474.25,38.270529929007616
1747718400,21474.5,21479.5,21472,21473.5,38.06748461207185
1747718700,21474,21482.25,21473.5,21476.25,38.0943303819638
1747719000,21476.75,21487,21469,21470,38.47067416782868
1747719300,21470,21476.75,21463.75,21473,37.93059216538345
1747719600,21472.75,21473.25,21457.25,21458,36.45847816298436
1747719900,21457.75,21458,21441.5,21441.75,34.403168968084806
1747720200,21441.25,21444.75,21431,21433.5,33.36976945642443
1747720500,21433.5,21436.5,21415.5,21418.5,33.4065359879068
1747720800,21418.25,21419.5,21402.25,21411.5,34.09341944330858
